P01_01_1, P01, P01_01, 00:00:02.629, 00:00:04.37, 00:00:06.17, 262, 370, turn on light, turn-on, 6, light, 114, ['light'], [114]
P11_03_10, P11, P11_03, 00:00:29.560, 00:00:28.70, 00:00:29.59, 1722, 1775, pick up stone, pick-up, 0, stone, 212, ['stone'], [212]
P11_03_11, P11, P11_03, 00:00:30.560, 00:00:28.75, 00:00:30.90, 1725, 1854, place stone, place, 1, stone, 212, ['stone'], [212]
P11_03_15, P11, P11_03, 00:00:39.570, 00:00:38.72, 00:00:40.22, 2323, 2413, turn off tap, turn-off, 8, tap, 0, ['tap'], [0]
P11_03_19, P11, P11_03, 00:00:49.890, 00:00:48.87, 00:00:50.12, 2932, 3007, play music, play, 6, music, 245, ['music'], [245]
P11_03_3, P11, P11_03, 00:00:10.259, 00:00:10.05, 00:00:11.45, 603, 687, pick up stone, pick-up, 0, stone, 212, ['stone'], [212]
P11_03_36, P11, P11_03, 00:01:34.080, 00:01:33.37, 00:01:34.83, 5602, 5689, pick up phone, pick-up, 0, phone, 165, ['phone'], [165]
P11_03_37, P11, P11_03, 00:01:35.560, 00:01:34.35, 00:01:35.97, 5661, 5758, close app, close, 4, app, 165, ['app'], [165]
P11_03_38, P11, P11_03, 00:01:40.369, 00:01:39.45, 00:01:40.45, 5967, 6027, turn off washer, turn-off, 8, washer, 124, ['washer'], [124]
P11_03_4, P11, P11_03, 00:00:14.969, 00:00:13.53, 00:00:16.07, 811, 964, place down stone, place-down, 1, stone, 212, ['stone'], [212]
P11_03_43, P11, P11_03, 00:01:50.860, 00:01:50.76, 00:01:52.26, 6645, 6735, turn on washer, turn-on, 6, washer, 124, ['washer'], [124]
P11_03_44, P11, P11_03, 00:01:54.290, 00:01:52.25, 00:01:53.59, 6735, 6815, close app, close, 4, app, 165, ['app'], [165]
P11_03_9, P11, P11_03, 00:00:28.300, 00:00:27.47, 00:00:29.08, 1648, 1744, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_04_10, P11, P11_04, 00:00:28.670, 00:00:26.93, 00:00:29.11, 1615, 1746, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_04_100, P11, P11_04, 00:03:52.110, 00:03:51.56, 00:03:52.81, 13893, 13968, put down blade, put-down, 1, blade, 4, ['blade'], [4]
P11_04_104, P11, P11_04, 00:04:02.590, 00:04:02.03, 00:04:04.60, 14521, 14676, pick up sharpening stone, pick-up, 0, stone:sharpening, 212, ['stone:sharpening'], [212]
P11_04_106, P11, P11_04, 00:04:09.770, 00:04:09.86, 00:04:18.17, 14991, 15490, rinse sharpening stone, rinse, 2, stone:sharpening, 212, ['stone:sharpening'], [212]
P11_04_109, P11, P11_04, 00:04:27.120, 00:04:25.20, 00:04:26.21, 15912, 15972, pick up sharpening guide, pick-up, 0, guide:sharpening, 212, ['guide:sharpening'], [212]
P11_04_115, P11, P11_04, 00:04:43.400, 00:04:41.50, 00:04:42.68, 16890, 16960, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_04_117, P11, P11_04, 00:04:46.569, 00:04:44.80, 00:04:47.76, 17088, 17265, put away knife, put-away, 1, knife, 4, ['knife'], [4]
P11_04_14, P11, P11_04, 00:00:44.570, 00:00:43.25, 00:00:45.52, 2595, 2731, take out whetstone, take-out, 12, whetstone, 212, ['whetstone'], [212]
P11_04_16, P11, P11_04, 00:00:48.450, 00:00:51.09, 00:00:51.84, 3065, 3110, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_04_2, P11, P11_04, 00:00:06.130, 00:00:05.66, 00:00:06.62, 339, 397, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_04_3, P11, P11_04, 00:00:08.690, 00:00:07.36, 00:00:09.68, 441, 580, pick up whetstone, pick-up, 0, whetstone, 212, ['whetstone'], [212]
P11_04_4, P11, P11_04, 00:00:10.510, 00:00:09.77, 00:00:10.69, 586, 641, place whetstone in tupperware, place, 1, whetstone, 212, ['whetstone', 'tupperware'], [212, 23]
P11_04_7, P11, P11_04, 00:00:18.630, 00:00:16.97, 00:00:18.23, 1018, 1093, turn off tap, turn-off, 8, tap, 0, ['tap'], [0]
P11_04_8, P11, P11_04, 00:00:20.130, 00:00:18.13, 00:00:20.38, 1087, 1222, pick up whetstone, pick-up, 0, whetstone, 212, ['whetstone'], [212]
P11_04_93, P11, P11_04, 00:03:39.040, 00:03:34.69, 00:03:37.66, 12881, 13059, wipe off blade, wipe-off, 2, blade, 4, ['blade'], [4]
P11_04_94, P11, P11_04, 00:03:36.240, 00:03:37.68, 00:03:39.63, 13060, 13177, wipe off blade, wipe-off, 2, blade, 4, ['blade'], [4]
P11_04_95, P11, P11_04, 00:03:41.320, 00:03:39.73, 00:03:40.46, 13183, 13227, put down blade, put-down, 1, blade, 4, ['blade'], [4]
P11_04_97, P11, P11_04, 00:03:45.410, 00:03:43.27, 00:03:44.00, 13396, 13440, pick up blade, pick-up, 0, blade, 4, ['blade'], [4]
P11_05_10, P11, P11_05, 00:00:34.140, 00:00:32.67, 00:00:34.00, 1960, 2040, put down frying pan, put-down, 1, pan:frying, 5, ['pan:frying'], [5]
P11_05_104, P11, P11_05, 00:06:11.550, 00:06:12.18, 00:06:12.71, 22330, 22362, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_05_11, P11, P11_05, 00:00:32.419, 00:00:33.93, 00:00:34.98, 2035, 2098, put down frying pan, put-down, 1, pan:frying, 5, ['pan:frying'], [5]
P11_05_111, P11, P11_05, 00:06:30.229, 00:06:29.24, 00:06:31.67, 23354, 23500, clean off knife, clean-off, 2, knife, 4, ['knife'], [4]
P11_05_116, P11, P11_05, 00:06:48.190, 00:06:47.52, 00:06:49.31, 24451, 24558, turn on water to boil, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_119, P11, P11_05, 00:07:01.710, 00:07:01.00, 00:07:03.68, 25260, 25420, put down kettle, put-down, 1, kettle, 44, ['kettle'], [44]
P11_05_12, P11, P11_05, 00:00:37.550, 00:00:37.45, 00:00:38.52, 2247, 2311, pick up colander, pick-up, 0, colander, 39, ['colander'], [39]
P11_05_127, P11, P11_05, 00:07:26.380, 00:07:30.06, 00:07:31.24, 27003, 27074, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_13, P11, P11_05, 00:00:39.670, 00:00:38.75, 00:00:39.50, 2325, 2370, pick up pot, pick-up, 0, pot, 29, ['pot'], [29]
P11_05_139, P11, P11_05, 00:08:16.310, 00:08:17.63, 00:08:19.41, 29857, 29964, take out measuring jug, take-out, 12, jug:measuring, 66, ['jug:measuring'], [66]
P11_05_141, P11, P11_05, 00:08:33.209, 00:08:26.87, 00:08:27.62, 30412, 30457, pick up measuring jug, pick-up, 0, jug:measuring, 66, ['jug:measuring'], [66]
P11_05_147, P11, P11_05, 00:08:48.050, 00:08:46.83, 00:08:49.34, 31609, 31760, put away measuring jug, put, 1, jug:measuring, 66, ['jug:measuring'], [66]
P11_05_149, P11, P11_05, 00:08:53.980, 00:08:53.52, 00:08:55.52, 32011, 32131, put away measuring jug, put, 1, jug:measuring, 66, ['jug:measuring'], [66]
P11_05_15, P11, P11_05, 00:00:41.989, 00:00:41.91, 00:00:42.88, 2514, 2572, put down pot, put-down, 1, pot, 29, ['pot'], [29]
P11_05_158, P11, P11_05, 00:09:32.559, 00:09:30.00, 00:09:34.12, 34200, 34447, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P11_05_16, P11, P11_05, 00:00:45.989, 00:00:45.74, 00:00:46.83, 2744, 2809, pick up pots, pick-up, 0, pot, 29, ['pot'], [29]
P11_05_163, P11, P11_05, 00:09:50.970, 00:09:50.67, 00:09:52.25, 35440, 35535, get fork, get, 0, fork, 14, ['fork'], [14]
P11_05_18, P11, P11_05, 00:00:48.850, 00:00:54.62, 00:00:56.07, 3277, 3364, put pot on stove, put-on, 1, pot, 29, ['pot', 'stove'], [29, 24]
P11_05_19, P11, P11_05, 00:01:00.280, 00:00:59.26, 00:01:01.61, 3555, 3696, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P11_05_190, P11, P11_05, 00:12:09.829, 00:12:08.96, 00:12:10.93, 43737, 43855, clean off fork, clean-off, 2, fork, 14, ['fork'], [14]
P11_05_2, P11, P11_05, 00:00:08.080, 00:00:09.96, 00:00:11.46, 597, 687, turn on oven, turn-on, 6, oven, 46, ['oven'], [46]
P11_05_203, P11, P11_05, 00:13:12.079, 00:13:11.58, 00:13:13.10, 47494, 47586, pick up fork, pick-up, 0, fork, 14, ['fork'], [14]
P11_05_204, P11, P11_05, 00:13:13.429, 00:13:14.34, 00:13:15.09, 47660, 47705, put fork in sink, put-in, 5, fork, 14, ['fork', 'sink'], [14, 63]
P11_05_206, P11, P11_05, 00:13:19.679, 00:13:19.20, 00:13:20.70, 47952, 48042, pick up slicer, pick-up, 0, slicer, 220, ['slicer'], [220]
P11_05_207, P11, P11_05, 00:13:21.119, 00:13:21.67, 00:13:23.06, 48100, 48183, put slicer on the side, put-on, 1, slicer, 220, ['slicer', 'side'], [220, 42]
P11_05_208, P11, P11_05, 00:13:26.269, 00:13:24.84, 00:13:27.21, 48290, 48432, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_05_222, P11, P11_05, 00:14:39.660, 00:14:38.96, 00:14:41.29, 52737, 52877, clean off knife, clean-off, 2, knife, 4, ['knife'], [4]
P11_05_223, P11, P11_05, 00:14:42.129, 00:14:41.31, 00:14:42.35, 52878, 52941, put down knife, put-down, 1, knife, 4, ['knife'], [4]
P11_05_238, P11, P11_05, 00:16:25.709, 00:16:25.45, 00:16:28.11, 59127, 59286, clean off knife, clean-off, 2, knife, 4, ['knife'], [4]
P11_05_243, P11, P11_05, 00:16:47.499, 00:16:49.71, 00:16:50.80, 60582, 60648, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_247, P11, P11_05, 00:17:00.629, 00:16:59.83, 00:17:05.65, 61189, 61539, clean fork, clean, 2, fork, 14, ['fork'], [14]
P11_05_249, P11, P11_05, 00:17:12.560, 00:17:06.80, 00:17:11.37, 61608, 61882, clean slicer, clean, 2, slicer, 220, ['slicer'], [220]
P11_05_25, P11, P11_05, 00:01:20.020, 00:01:22.70, 00:01:23.69, 4962, 5021, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_250, P11, P11_05, 00:17:18.800, 00:17:11.47, 00:17:21.01, 61888, 62460, scrub slicer, scrub, 29, slicer, 220, ['slicer'], [220]
P11_05_251, P11, P11_05, 00:17:21.350, 00:17:21.18, 00:17:21.97, 62470, 62518, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_252, P11, P11_05, 00:17:23.000, 00:17:21.27, 00:17:34.41, 62476, 63264, rinse slicer, rinse, 2, slicer, 220, ['slicer'], [220]
P11_05_253, P11, P11_05, 00:17:27.180, 00:17:22.45, 00:17:34.45, 62547, 63267, rinse slicer, rinse, 2, slicer, 220, ['slicer'], [220]
P11_05_254, P11, P11_05, 00:17:35.990, 00:17:34.29, 00:17:35.87, 63257, 63352, put away slicer, put, 1, slicer, 220, ['slicer'], [220]
P11_05_255, P11, P11_05, 00:17:36.990, 00:17:35.97, 00:17:38.54, 63358, 63512, rinse fork, rinse, 2, fork, 14, ['fork'], [14]
P11_05_256, P11, P11_05, 00:17:38.660, 00:17:38.44, 00:17:39.90, 63506, 63594, put away fork, put-away, 1, fork, 14, ['fork'], [14]
P11_05_258, P11, P11_05, 00:17:41.910, 00:17:43.29, 00:17:44.02, 63797, 63841, turn off tap, turn-off, 8, tap, 0, ['tap'], [0]
P11_05_276, P11, P11_05, 00:19:08.670, 00:19:08.72, 00:19:09.44, 68923, 68966, turn off timer, turn-off, 8, timer, 111, ['timer'], [111]
P11_05_277, P11, P11_05, 00:19:13.720, 00:19:12.74, 00:19:14.18, 69164, 69250, pick up colander, pick-up, 0, colander, 39, ['colander'], [39]
P11_05_278, P11, P11_05, 00:19:15.270, 00:19:14.75, 00:19:16.12, 69285, 69367, put back pot, put-back, 1, pot, 29, ['pot'], [29]
P11_05_279, P11, P11_05, 00:19:16.950, 00:19:17.07, 00:19:18.44, 69424, 69506, put colander in sink, put-in, 5, colander, 39, ['colander', 'sink'], [39, 63]
P11_05_280, P11, P11_05, 00:19:22.780, 00:19:21.54, 00:19:25.04, 69692, 69902, pick up pot, pick-up, 0, pot, 29, ['pot'], [29]
P11_05_281, P11, P11_05, 00:19:30.950, 00:19:28.03, 00:19:30.78, 70081, 70246, put pot on lid, put-on, 1, pot, 29, ['pot', 'lid'], [29, 6]
P11_05_283, P11, P11_05, 00:19:33.330, 00:19:32.50, 00:19:33.71, 70350, 70422, pick up colander, pick-up, 0, colander, 39, ['colander'], [39]
P11_05_284, P11, P11_05, 00:19:36.920, 00:19:35.48, 00:19:38.23, 70528, 70693, put down pot, put-down, 1, pot, 29, ['pot'], [29]
P11_05_285, P11, P11_05, 00:19:39.260, 00:19:38.39, 00:19:41.80, 70703, 70908, put down pot on hob, put-down, 1, pot, 29, ['pot', 'hob'], [29, 24]
P11_05_286, P11, P11_05, 00:19:42.670, 00:19:41.33, 00:19:44.94, 70879, 71096, put colander on pot, put-on, 1, colander, 39, ['colander', 'pot'], [39, 29]
P11_05_289, P11, P11_05, 00:19:54.050, 00:19:53.83, 00:19:56.58, 71629, 71794, pick up chopping block, pick-up, 0, block:chopping, 18, ['block:chopping'], [18]
P11_05_291, P11, P11_05, 00:20:03.730, 00:20:02.05, 00:20:04.80, 72123, 72288, put down knife, put-down, 1, knife, 4, ['knife'], [4]
P11_05_295, P11, P11_05, 00:20:18.640, 00:20:17.93, 00:20:19.70, 73075, 73182, clean off knife, clean-off, 2, knife, 4, ['knife'], [4]
P11_05_297, P11, P11_05, 00:20:26.430, 00:20:26.37, 00:20:28.25, 73582, 73695, clean off knife, clean-off, 2, knife, 4, ['knife'], [4]
P11_05_299, P11, P11_05, 00:20:31.440, 00:20:30.66, 00:20:33.87, 73839, 74032, put down chopping block and knife, put-down, 1, block:chopping, 18, ['block:chopping', 'knife'], [18, 4]
P11_05_3, P11, P11_05, 00:00:12.920, 00:00:12.77, 00:00:13.64, 766, 818, pick up kettle, pick-up, 0, kettle, 44, ['kettle'], [44]
P11_05_302, P11, P11_05, 00:20:44.160, 00:20:43.73, 00:20:44.95, 74623, 74697, put down colander, put-down, 1, colander, 39, ['colander'], [39]
P11_05_312, P11, P11_05, 00:21:37.020, 00:21:40.54, 00:21:45.78, 78032, 78346, rinse knife, rinse, 2, knife, 4, ['knife'], [4]
P11_05_313, P11, P11_05, 00:21:47.280, 00:21:46.20, 00:21:53.59, 78372, 78815, clean knife, clean, 2, knife, 4, ['knife'], [4]
P11_05_314, P11, P11_05, 00:21:48.280, 00:21:54.26, 00:22:02.26, 78855, 79335, rinse off knife, rinse-off, 2, knife, 4, ['knife'], [4]
P11_05_315, P11, P11_05, 00:22:04.320, 00:22:04.74, 00:22:07.31, 79484, 79638, put away knife, put-away, 1, knife, 4, ['knife'], [4]
P11_05_316, P11, P11_05, 00:22:06.110, 00:22:07.58, 00:22:09.15, 79654, 79749, pick up chopping block, pick-up, 0, block:chopping, 18, ['block:chopping'], [18]
P11_05_317, P11, P11_05, 00:22:11.170, 00:22:10.01, 00:22:14.44, 79800, 80066, rinse off chopping block, rinse-off, 2, block:chopping, 18, ['block:chopping'], [18]
P11_05_318, P11, P11_05, 00:22:23.200, 00:22:14.82, 00:22:23.50, 80089, 80610, scrub chopping block, scrub, 29, block:chopping, 18, ['block:chopping'], [18]
P11_05_319, P11, P11_05, 00:22:16.000, 00:22:23.47, 00:22:26.32, 80608, 80779, scrub chopping block, scrub, 29, block:chopping, 18, ['block:chopping'], [18]
P11_05_334, P11, P11_05, 00:23:34.490, 00:23:33.69, 00:23:43.55, 84821, 85413, scrub chopping block, scrub, 29, block:chopping, 18, ['block:chopping'], [18]
P11_05_336, P11, P11_05, 00:23:46.380, 00:23:45.06, 00:23:50.37, 85503, 85822, rinse chopping block, rinse, 2, block:chopping, 18, ['block:chopping'], [18]
P11_05_337, P11, P11_05, 00:23:53.320, 00:23:50.47, 00:23:54.40, 85828, 86064, rinse chopping block, rinse, 2, block:chopping, 18, ['block:chopping'], [18]
P11_05_338, P11, P11_05, 00:23:58.640, 00:23:55.86, 00:23:59.92, 86151, 86395, put away chopping block, put, 1, block:chopping, 18, ['block:chopping'], [18]
P11_05_339, P11, P11_05, 00:24:05.030, 00:24:04.15, 00:24:06.82, 86649, 86809, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P11_05_344, P11, P11_05, 00:24:46.240, 00:24:46.03, 00:24:50.06, 89161, 89403, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_346, P11, P11_05, 00:24:56.380, 00:24:54.22, 00:25:02.68, 89653, 90160, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_347, P11, P11_05, 00:25:04.450, 00:25:04.52, 00:25:08.93, 90271, 90535, rinse off pan, rinse-off, 2, pan, 5, ['pan'], [5]
P11_05_348, P11, P11_05, 00:25:26.210, 00:25:17.35, 00:25:23.77, 91041, 91426, rinse off pan, rinse-off, 2, pan, 5, ['pan'], [5]
P11_05_349, P11, P11_05, 00:25:10.200, 00:25:20.74, 00:25:29.85, 91244, 91791, rinse off pan, rinse-off, 2, pan, 5, ['pan'], [5]
P11_05_350, P11, P11_05, 00:25:33.120, 00:25:32.21, 00:25:33.95, 91932, 92037, put pan on hob, put-on, 1, pan, 5, ['pan', 'hob'], [5, 24]
P11_05_351, P11, P11_05, 00:25:34.120, 00:25:35.23, 00:25:36.03, 92113, 92161, pick up colander, pick-up, 0, colander, 39, ['colander'], [39]
P11_05_352, P11, P11_05, 00:25:36.370, 00:25:35.42, 00:25:36.96, 92125, 92217, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P11_05_353, P11, P11_05, 00:25:39.830, 00:25:39.32, 00:25:40.75, 92359, 92445, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_354, P11, P11_05, 00:25:42.020, 00:25:40.85, 00:25:47.38, 92451, 92842, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_355, P11, P11_05, 00:25:47.960, 00:25:47.87, 00:25:54.89, 92872, 93293, rinse off pan, rinse-off, 2, pan, 5, ['pan'], [5]
P11_05_356, P11, P11_05, 00:25:54.360, 00:25:54.99, 00:25:58.70, 93299, 93522, rinse off pan, rinse-off, 2, pan, 5, ['pan'], [5]
P11_05_357, P11, P11_05, 00:26:00.110, 00:26:00.66, 00:26:01.84, 93639, 93710, put away pan, put-away, 1, pan, 5, ['pan'], [5]
P11_05_358, P11, P11_05, 00:26:02.520, 00:26:03.27, 00:26:04.14, 93796, 93848, pick up colander, pick-up, 0, colander, 39, ['colander'], [39]
P11_05_359, P11, P11_05, 00:26:04.110, 00:26:04.24, 00:26:05.58, 93854, 93934, rinse colander, rinse, 2, colander, 39, ['colander'], [39]
P11_05_360, P11, P11_05, 00:26:05.870, 00:26:05.68, 00:26:15.17, 93940, 94510, scrub colander, scrub, 29, colander, 39, ['colander'], [39]
P11_05_361, P11, P11_05, 00:26:16.130, 00:26:15.27, 00:26:26.85, 94516, 95211, rinse colander, rinse, 2, colander, 39, ['colander'], [39]
P11_05_362, P11, P11_05, 00:26:22.920, 00:26:18.72, 00:26:26.78, 94723, 95206, rinse colander, rinse, 2, colander, 39, ['colander'], [39]
P11_05_363, P11, P11_05, 00:26:27.090, 00:26:27.29, 00:26:28.33, 95237, 95299, put away colander, put, 1, colander, 39, ['colander'], [39]
P11_05_366, P11, P11_05, 00:26:35.170, 00:26:38.70, 00:26:42.25, 95922, 96135, take out bowls, take-out, 12, bowl, 7, ['bowl'], [7]
P11_05_368, P11, P11_05, 00:26:48.300, 00:26:46.06, 00:26:49.10, 96363, 96546, put down bowls, put-down, 1, bowl, 7, ['bowl'], [7]
P11_05_372, P11, P11_05, 00:27:04.960, 00:27:04.22, 00:27:05.23, 97453, 97513, pick up bowls, pick-up, 0, bowl, 7, ['bowl'], [7]
P11_05_382, P11, P11_05, 00:27:56.690, 00:27:56.47, 00:27:57.55, 100588, 100653, put pan in sink, put-in, 5, pan, 5, ['pan', 'sink'], [5, 63]
P11_05_383, P11, P11_05, 00:27:58.290, 00:27:57.87, 00:27:58.60, 100672, 100716, turn on tap, turn-on, 6, tap, 0, ['tap'], [0]
P11_05_385, P11, P11_05, 00:28:01.190, 00:27:59.73, 00:28:04.80, 100783, 101088, rinse spatula, rinse, 2, spatula, 20, ['spatula'], [20]
P11_05_386, P11, P11_05, 00:28:07.790, 00:28:07.28, 00:28:10.29, 101236, 101417, scrub spatula, scrub, 29, spatula, 20, ['spatula'], [20]
P11_05_388, P11, P11_05, 00:28:18.660, 00:28:17.35, 00:28:23.03, 101841, 102181, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_389, P11, P11_05, 00:28:25.270, 00:28:21.03, 00:28:29.67, 102061, 102580, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_390, P11, P11_05, 00:28:31.100, 00:28:29.72, 00:28:33.48, 102583, 102808, scrub spatula, scrub, 29, spatula, 20, ['spatula'], [20]
P11_05_391, P11, P11_05, 00:28:39.400, 00:28:39.18, 00:28:43.41, 103150, 103404, rinse spatula, rinse, 2, spatula, 20, ['spatula'], [20]
P11_05_392, P11, P11_05, 00:28:43.970, 00:28:43.75, 00:28:46.00, 103425, 103560, scrub spatula, scrub, 29, spatula, 20, ['spatula'], [20]
P11_05_393, P11, P11_05, 00:28:46.520, 00:28:46.85, 00:28:48.60, 103611, 103716, rinse spatula, rinse, 2, spatula, 20, ['spatula'], [20]
P11_05_394, P11, P11_05, 00:28:47.520, 00:28:48.89, 00:28:50.54, 103733, 103832, put away spatula, put, 1, spatula, 20, ['spatula'], [20]
P11_05_395, P11, P11_05, 00:28:52.350, 00:28:51.79, 00:28:57.04, 103907, 104222, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_396, P11, P11_05, 00:28:53.530, 00:28:52.59, 00:28:57.27, 103955, 104236, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_397, P11, P11_05, 00:28:58.100, 00:28:58.05, 00:29:01.96, 104283, 104517, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_398, P11, P11_05, 00:29:04.050, 00:29:03.92, 00:29:05.94, 104635, 104756, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_399, P11, P11_05, 00:29:08.700, 00:29:06.60, 00:29:08.00, 104796, 104880, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_40, P11, P11_05, 00:01:59.649, 00:01:57.87, 00:02:00.40, 7072, 7224, put away phone, put-away, 1, phone, 165, ['phone'], [165]
P11_05_400, P11, P11_05, 00:29:15.580, 00:29:08.07, 00:29:08.76, 104884, 104925, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_401, P11, P11_05, 00:29:28.790, 00:29:08.86, 00:29:29.23, 104931, 106153, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_402, P11, P11_05, 00:29:21.230, 00:29:18.00, 00:29:29.25, 105480, 106155, scrub pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_405, P11, P11_05, 00:29:39.720, 00:29:38.80, 00:29:49.65, 106728, 107379, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_406, P11, P11_05, 00:29:50.980, 00:29:49.75, 00:29:55.75, 107385, 107745, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_407, P11, P11_05, 00:29:57.080, 00:29:55.97, 00:29:59.37, 107758, 107962, scrub back of pan, scrub, 29, pan, 5, ['pan'], [5]
P11_05_408, P11, P11_05, 00:29:59.710, 00:29:59.45, 00:30:01.97, 107967, 108118, rinse pan, rinse, 2, pan, 5, ['pan'], [5]
P11_05_409, P11, P11_05, 00:30:00.710, 00:30:02.80, 00:30:04.80, 108168, 108288, put pan on hob, put-on, 1, pan, 5, ['pan', 'hob'], [5, 24]
P11_05_41, P11, P11_05, 00:02:04.170, 00:02:03.45, 00:02:04.93, 7407, 7495, pick up slicer, pick-up, 0, slicer, 220, ['slicer'], [220]
P11_05_410, P11, P11_05, 00:30:09.050, 00:30:08.75, 00:30:14.00, 108525, 108840, pick up fork, pick-up, 0, fork, 14, ['fork'], [14]
P11_05_411, P11, P11_05, 00:30:14.990, 00:30:15.76, 00:30:16.91, 108945, 109014, put fork in bowls, put-in, 5, fork, 14, ['fork', 'bowl'], [14, 7]
P11_05_58, P11, P11_05, 00:03:16.560, 00:03:17.34, 00:03:18.59, 11840, 11915, pick up spatula, pick-up, 0, spatula, 20, ['spatula'], [20]
P11_05_66, P11, P11_05, 00:03:48.330, 00:03:47.49, 00:03:50.63, 13649, 13837, pick up chopping block, pick-up, 0, block:chopping, 18, ['block:chopping'], [18]
P11_05_68, P11, P11_05, 00:03:53.740, 00:03:53.58, 00:03:56.11, 14014, 14166, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P11_05_7, P11, P11_05, 00:00:22.640, 00:00:26.23, 00:00:27.73, 1573, 1663, put down kettle, put-down, 1, kettle, 44, ['kettle'], [44]
P11_05_8, P11, P11_05, 00:00:27.890, 00:00:27.68, 00:00:28.39, 1660, 1703, turn on kettle, turn-on, 6, kettle, 44, ['kettle'], [44]
P11_05_9, P11, P11_05, 00:00:30.160, 00:00:29.73, 00:00:31.29, 1783, 1877, pick up frying pan, pick-up, 0, pan:frying, 5, ['pan:frying'], [5]
P11_06_1, P11, P11_06, 00:00:06.060, 00:00:05.09, 00:00:06.76, 305, 405, take out bowl, take-out, 12, bowl, 7, ['bowl'], [7]
P11_06_14, P11, P11_06, 00:00:34.530, 00:00:33.53, 00:00:34.04, 2011, 2042, pick up bowl, pick-up, 0, bowl, 7, ['bowl'], [7]
P11_06_15, P11, P11_06, 00:00:35.940, 00:00:34.45, 00:00:35.96, 2067, 2157, place bowl on desk, place, 1, bowl, 7, ['bowl', 'desk'], [7, 42]
P11_06_3, P11, P11_06, 00:00:09.740, 00:00:08.59, 00:00:09.75, 515, 585, pick up spoon, pick-up, 0, spoon, 1, ['spoon'], [1]
P11_06_4, P11, P11_06, 00:00:11.799, 00:00:09.85, 00:00:11.40, 591, 684, put spoon in bowl, put-in, 5, spoon, 1, ['spoon', 'bowl'], [1, 7]
P11_06_5, P11, P11_06, 00:00:12.950, 00:00:11.85, 00:00:12.91, 711, 774, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P11_07_1, P11, P11_07, 00:00:03.860, 00:00:03.67, 00:00:04.73, 220, 283, pick up spoon, pick-up, 0, spoon, 1, ['spoon'], [1]
P11_07_10, P11, P11_07, 00:00:20.710, 00:00:20.27, 00:00:22.77, 1216, 1366, place bowl in drying rack, place-in, 5, bowl, 7, ['bowl', 'rack:drying'], [7, 110]
P11_07_2, P11, P11_07, 00:00:05.140, 00:00:04.01, 00:00:08.98, 240, 538, rinse off spoon, rinse-off, 2, spoon, 1, ['spoon'], [1]
P11_07_4, P11, P11_07, 00:00:10.370, 00:00:09.78, 00:00:11.10, 586, 666, put away spoon, put, 1, spoon, 1, ['spoon'], [1]
P11_07_5, P11, P11_07, 00:00:11.610, 00:00:11.10, 00:00:12.24, 666, 734, pick up bowl, pick-up, 0, bowl, 7, ['bowl'], [7]
P11_07_8, P11, P11_07, 00:00:15.309, 00:00:14.12, 00:00:18.37, 847, 1102, wash the bowl, wash, 2, bowl, 7, ['bowl'], [7]
P11_07_9, P11, P11_07, 00:00:19.520, 00:00:18.99, 00:00:20.48, 1139, 1228, wash back of bowl, wash, 2, bowl, 7, ['bowl'], [7]
